%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1446037376350193337,1,1446037375978285074,robocape_mag,17.55,9.9,-8.55,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446037376379027754,2,1446037376020294904,robocape_mag,17.55,9.9,-8.55,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446037376383436212,3,1446037376049524068,robocape_mag,12.45,13.8,-7.65,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446037376383505337,4,1446037376081399917,robocape_mag,12.45,13.8,-7.65,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446037376383882670,5,1446037376122558116,robocape_mag,12.45,13.8,-7.65,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446037376383992295,6,1446037376149077892,robocape_mag,12.45,13.8,-7.65,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446037376384466004,7,1446037376177427053,robocape_mag,12.45,13.8,-7.65,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446037376384565754,8,1446037376210750102,robocape_mag,19.65,9.0,-5.85,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446037376385066129,9,1446037376243957996,robocape_mag,19.65,9.0,-5.85,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446037376385156462,10,1446037376312719106,robocape_mag,19.65,9.0,-5.85,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446037376385905087,11,1446037376342375993,robocape_mag,19.65,9.0,-5.85,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
1446037376386231337,12,1446037376362967967,robocape_mag,16.65,9.0,-7.05,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0
