%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1446038497104863330,1,1446038497103056907,robocape,1486.0,1440.0
1446038497137612205,2,1446038497135689973,robocape,1493.0,1440.0
1446038497172070538,3,1446038497170712947,robocape,1493.0,1560.0
1446038497203901496,4,1446038497201622009,robocape,1492.0,1560.0
1446038497240557996,5,1446038497238607883,robocape,1494.0,1560.0
1446038497269023663,6,1446038497267101049,robocape,1485.0,1440.0
1446038497302315913,7,1446038497300201892,robocape,1488.0,1560.0
1446038497335784913,8,1446038497333853960,robocape,1485.0,1560.0
1446038497369323705,9,1446038497365678071,robocape,1493.0,1440.0
1446038497401593538,10,1446038497400290012,robocape,1492.0,1560.0
1446038497435332080,11,1446038497433393955,robocape,1493.0,1440.0
1446038497468446747,12,1446038497467194080,robocape,1495.0,1560.0
1446038497501836205,13,1446038497500468015,robocape,1486.0,1560.0
1446038497534594247,14,1446038497533365964,robocape,1485.0,1440.0
1446038497568562205,15,1446038497567277908,robocape,1488.0,1560.0
1446038497602690663,16,1446038497600286006,robocape,1492.0,1440.0
1446038497635449538,17,1446038497633456945,robocape,1493.0,1560.0
1446038497667984788,18,1446038497666722059,robocape,1490.0,1560.0
1446038497701265205,19,1446038497699987888,robocape,1494.0,1440.0
1446038497733763705,20,1446038497732494115,robocape,1492.0,1440.0
1446038497766823913,21,1446038497760024070,robocape,1486.0,1440.0
1446038497800041163,22,1446038497793093919,robocape,1486.0,1560.0
1446038497827263413,23,1446038497825707912,robocape,1486.0,1560.0
1446038497860815497,24,1446038497859165906,robocape,1492.0,1440.0
1446038497893220163,25,1446038497891422033,robocape,1493.0,1440.0
1446038497926021580,26,1446038497924313068,robocape,1492.0,1440.0
1446038497959913622,27,1446038497957858085,robocape,1493.0,1560.0
1446038497991683580,28,1446038497990087985,robocape,1486.0,1560.0
1446038498024444955,29,1446038498022910118,robocape,1486.0,1560.0
1446038498058116830,30,1446038498056206941,robocape,1485.0,1440.0
1446038498090276955,31,1446038498088639974,robocape,1493.0,1560.0
1446038498123381455,32,1446038498121545076,robocape,1492.0,1560.0
1446038498155942830,33,1446038498154340028,robocape,1493.0,1560.0
1446038498188876330,34,1446038498187267065,robocape,1492.0,1560.0
1446038498221652414,35,1446038498220093011,robocape,1486.0,1440.0
1446038498254727414,36,1446038498252983093,robocape,1486.0,1560.0
1446038498287438455,37,1446038498285845994,robocape,1486.0,1560.0
1446038498320674830,38,1446038498319026947,robocape,1493.0,1440.0
1446038498353490330,39,1446038498351866960,robocape,1493.0,1560.0
1446038498386810664,40,1446038498384867906,robocape,1492.0,1440.0
1446038498419075247,41,1446038498417470932,robocape,1494.0,1560.0
1446038498451476455,42,1446038498449695110,robocape,1486.0,1440.0
1446038498483840789,43,1446038498482587099,robocape,1486.0,1440.0
1446038498516812830,44,1446038498515554904,robocape,1485.0,1560.0
1446038498549513539,45,1446038498548355102,robocape,1486.0,1440.0
1446038498583641455,46,1446038498581204891,robocape,1490.0,1560.0
1446038498615546664,47,1446038498614170074,robocape,1493.0,1560.0
1446038498648159122,48,1446038498646889925,robocape,1493.0,1440.0
1446038498681161414,49,1446038498679788112,robocape,1492.0,1440.0
1446038498714076247,50,1446038498712693929,robocape,1486.0,1440.0
1446038498746680622,51,1446038498745497941,robocape,1488.0,1440.0
1446038498779554289,52,1446038498778321027,robocape,1485.0,1560.0
1446038498813191081,53,1446038498811712026,robocape,1493.0,1560.0
1446038498845316122,54,1446038498844063997,robocape,1493.0,1440.0
1446038498881753081,55,1446038498880407094,robocape,1494.0,1440.0
1446038498911026081,56,1446038498909846067,robocape,1492.0,1560.0
1446038498943927039,57,1446038498942713975,robocape,1488.0,1560.0
1446038498976892247,58,1446038498975524902,robocape,1485.0,1560.0
1446038499009654831,59,1446038499008395910,robocape,1486.0,1440.0
1446038499042539706,60,1446038499041285991,robocape,1493.0,1440.0
1446038499075604539,61,1446038499074208974,robocape,1493.0,1560.0
1446038499108245831,62,1446038499107048988,robocape,1490.0,1560.0
1446038499141083039,63,1446038499139862060,robocape,1493.0,1560.0
1446038499174190247,64,1446038499172935009,robocape,1485.0,1560.0
1446038499207706914,65,1446038499206258058,robocape,1486.0,1560.0
1446038499240360456,66,1446038499239099979,robocape,1486.0,1560.0
1446038499273205081,67,1446038499271960973,robocape,1486.0,1440.0
1446038499306292414,68,1446038499304877042,robocape,1490.0,1560.0
1446038499338927497,69,1446038499337749004,robocape,1493.0,1560.0
1446038499371807789,70,1446038499370614051,robocape,1490.0,1560.0
1446038499404658956,71,1446038499403395891,robocape,1493.0,1560.0
1446038499437573331,72,1446038499436305999,robocape,1488.0,1440.0
1446038499472274622,73,1446038499470916986,robocape,1486.0,1440.0
1446038499503323248,74,1446038499501770019,robocape,1485.0,1440.0
1446038499537137539,75,1446038499535201072,robocape,1493.0,1440.0
1446038499570235623,76,1446038499568947076,robocape,1492.0,1560.0
1446038499602766081,77,1446038499600794076,robocape,1493.0,1440.0
1446038499636213123,78,1446038499633131980,robocape,1490.0,1560.0
1446038499670336164,79,1446038499666893005,robocape,1486.0,1440.0
1446038499702649498,80,1446038499699070930,robocape,1486.0,1440.0
1446038499734963331,81,1446038499733777046,robocape,1486.0,1560.0
1446038499768663873,82,1446038499767493963,robocape,1492.0,1560.0
1446038499801526873,83,1446038499800179958,robocape,1493.0,1440.0
1446038499836958248,84,1446038499835784912,robocape,1492.0,1440.0
1446038499869684873,85,1446038499865397930,robocape,1493.0,1560.0
1446038499903319289,86,1446038499901012897,robocape,1484.0,1440.0
1446038499935823248,87,1446038499933887958,robocape,1486.0,1440.0
1446038499969636998,88,1446038499967608928,robocape,1486.0,1440.0
1446038500001032581,89,1446038499999854087,robocape,1486.0,1560.0
1446038500034410039,90,1446038500033242940,robocape,1493.0,1560.0
1446038500067842414,91,1446038500066344022,robocape,1493.0,1560.0
1446038500100282123,92,1446038500093396902,robocape,1492.0,1560.0
1446038500127885873,93,1446038500126328945,robocape,1493.0,1560.0
1446038500160597289,94,1446038500158987998,robocape,1485.0,1560.0
1446038500193628748,95,1446038500192022085,robocape,1486.0,1440.0
1446038500226454331,96,1446038500224797010,robocape,1486.0,1560.0
1446038500259419123,97,1446038500257754087,robocape,1493.0,1440.0
1446038500292376873,98,1446038500290534019,robocape,1490.0,1560.0
1446038500325390456,99,1446038500323607921,robocape,1493.0,1560.0
1446038500357798873,100,1446038500356206893,robocape,1492.0,1440.0
1446038500390731831,101,1446038500389122009,robocape,1486.0,1440.0
1446038500424076665,102,1446038500421978950,robocape,1486.0,1440.0
1446038500456904540,103,1446038500454866886,robocape,1488.0,1440.0
1446038500489392956,104,1446038500487631082,robocape,1492.0,1560.0
1446038500522988331,105,1446038500521239042,robocape,1494.0,1440.0
1446038500554969290,106,1446038500553385972,robocape,1494.0,1440.0
1446038500588172040,107,1446038500586345911,robocape,1494.0,1440.0
1446038500621740248,108,1446038500619175910,robocape,1488.0,1560.0
1446038500654040081,109,1446038500652215957,robocape,1486.0,1560.0
1446038500686986331,110,1446038500685337066,robocape,1486.0,1560.0
1446038500719619831,111,1446038500717952966,robocape,1488.0,1440.0
1446038500752272748,112,1446038500750214099,robocape,1490.0,1440.0
1446038500784896165,113,1446038500783118963,robocape,1492.0,1560.0
1446038500818061331,114,1446038500816294908,robocape,1492.0,1440.0
1446038500850021748,115,1446038500848759889,robocape,1490.0,1560.0
1446038500884820123,116,1446038500881931066,robocape,1488.0,1440.0
1446038500915921415,117,1446038500914498090,robocape,1488.0,1560.0
1446038500948623873,118,1446038500947376012,robocape,1485.0,1560.0
1446038500981428540,119,1446038500980262041,robocape,1493.0,1440.0
1446038501014434623,120,1446038501013237953,robocape,1493.0,1560.0
1446038501047185082,121,1446038501045958042,robocape,1494.0,1560.0
1446038501080111040,122,1446038501078846931,robocape,1493.0,1560.0
1446038501113108373,123,1446038501111700057,robocape,1486.0,1440.0
1446038501145912540,124,1446038501144676923,robocape,1486.0,1581.0
1446038501178931332,125,1446038501177601099,robocape,1493.0,1620.0
1446038501211695498,126,1446038501210505962,robocape,1493.0,1645.0
1446038501244562123,127,1446038501243319034,robocape,1493.0,1663.0
1446038501277655665,128,1446038501276248931,robocape,1494.0,1678.0
1446038501310296998,129,1446038501309030055,robocape,1489.0,1683.0
1446038501343204832,130,1446038501341943979,robocape,1486.0,1687.0
1446038501376180207,131,1446038501374984025,robocape,1488.0,1688.0
1446038501408859040,132,1446038501407661914,robocape,1490.0,1679.0
1446038501441704123,133,1446038501440448045,robocape,1493.0,1654.0
1446038501474648623,134,1446038501473387956,robocape,1494.0,1625.0
1446038501507340832,135,1446038501506083965,robocape,1494.0,1440.0
1446038501540153082,136,1446038501538995027,robocape,1493.0,1560.0
1446038501573186290,137,1446038501571979045,robocape,1486.0,1560.0
1446038501605985999,138,1446038501604595899,robocape,1489.0,1560.0
1446038501639302124,139,1446038501638120889,robocape,1488.0,1440.0
1446038501672055790,140,1446038501670587062,robocape,1485.0,1402.0
1446038501705165457,141,1446038501703697919,robocape,1488.0,1338.0
1446038501737465707,142,1446038501736283063,robocape,1492.0,1283.0
1446038501771009374,143,1446038501769514083,robocape,1495.0,1255.0
1446038501803630499,144,1446038501801759958,robocape,1492.0,1254.0
1446038501836646790,145,1446038501834662914,robocape,1493.0,1261.0
1446038501868652415,146,1446038501867392063,robocape,1492.0,1259.0
1446038501903718707,147,1446038501901521921,robocape,1488.0,1259.0
1446038501936674790,148,1446038501934701919,robocape,1488.0,1259.0
1446038501969703290,149,1446038501966346979,robocape,1486.0,1259.0
1446038502003312665,150,1446038501999286890,robocape,1492.0,1255.0
1446038502036145999,151,1446038502034962892,robocape,1493.0,1261.0
1446038502068343540,152,1446038502067100048,robocape,1493.0,1295.0
1446038502103552249,153,1446038502099275112,robocape,1488.0,1430.0
1446038502136286040,154,1446038502134332895,robocape,1488.0,1440.0
1446038502168249707,155,1446038502166975021,robocape,1494.0,1440.0
1446038502201899957,156,1446038502200711011,robocape,1490.0,1560.0
1446038502236593124,157,1446038502233057975,robocape,1492.0,1440.0
1446038502268232207,158,1446038502267059087,robocape,1493.0,1560.0
1446038502303190916,159,1446038502299024105,robocape,1488.0,1560.0
1446038502335373249,160,1446038502334124088,robocape,1488.0,1440.0
1446038502367779374,161,1446038502366621017,robocape,1486.0,1560.0
1446038502400414707,162,1446038502399138927,robocape,1488.0,1560.0
1446038502428218207,163,1446038502426606893,robocape,1494.0,1560.0
1446038502477000582,164,1446038502475752115,robocape,1493.0,1440.0
1446038502509800332,165,1446038502508536100,robocape,1494.0,1560.0
